name,hex,r,g,b,h,s,v
mantis,74c365,116,195,101,110,48,76
mardi gras,880085,136,0,133,301,100,53
mauve,e0b0ff,224,176,255,276,31,100
mauve taupe,915f6d,145,95,109,343,34,57
mauvelous,ef98aa,239,152,170,348,36,94
maximum blue,47abcc,71,171,204,195,65,80
maximum blue green,30bfbf,48,191,191,180,75,75
maximum blue purple,acace6,172,172,230,240,25,90
maximum green,5e8c31,94,140,49,90,65,55
maximum green yellow,d9e650,217,230,80,65,65,90
maximum orange,ff5b00,255,91,0,22,100,100
maximum purple,733380,115,51,128,290,60,50
maximum pink,f6a5f2,246,165,242,304,33,96
maximum red,d92121,217,33,33,0,85,85
maximum red purple,a63a79,166,58,121,325,65,65
maximum violet,892f77,137,47,119,312,66,54
maximum yellow,fafa37,250,250,55,60,78,98
maximum yellow red,f2ba49,242,186,73,40,70,95
may green,4c9141,76,145,65,112,55,57
maya blue,73c2fb,115,194,251,205,54,98
meat brown,e5b73b,229,183,59,44,74,90
medium green,037949,3,121,73,156,98,47
medium jungle green,1c352d,28,53,45,161,47,21
medium orange,ff7802,255,120,2,28,99,100
medium orchid,ba55d3,186,85,211,288,60,83
medium persian blue,0067a5,0,103,165,203,100,65
medium pink,fe6e9f,254,110,159,340,57,100
medium red,b10304,177,3,4,0,98,69
medium red-violet,bb3385,187,51,133,324,73,73
medium sky blue,80daeb,128,218,235,190,46,92
medium slate blue,7b68ee,123,104,238,249,56,93
medium spring bud,c9dc87,201,220,135,73,39,86
medium taupe,674c47,103,76,71,9,31,40
medium tuscan red,79443b,121,68,59,9,51,47
medium vermilion,d9603b,217,96,59,14,73,85
medium violet,65315f,101,49,95,308,51,40
medium violet-red,c71585,199,21,133,322,89,78
medium yellow,ffe302,255,227,2,54,99,100
mellow yellow,f8de7e,248,222,126,47,49,97
melon,fdbcb4,253,188,180,7,29,99
menthol,c1f9a2,193,249,162,99,35,98
metallic blue,32527b,50,82,123,214,59,48
metallic brown,ac4313,172,67,19,19,89,67
metallic green,296e01,41,110,1,98,99,43
metallic orange,da680f,218,104,15,26,93,85
metallic pink,eda6c4,237,166,196,335,30,93
metallic red,a62c2b,166,44,43,0,74,65
metallic seaweed,0a7e8c,10,126,140,186,93,55
metallic sunburst,9c7c38,156,124,56,41,64,61
metallic violet,5b0a91,90,10,145,276,93,57
metallic yellow,fdcc0d,253,204,13,48,95,99
